Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
paystub-2-47,2023-02-16,100304.0,Health Savings Account Investment,HSA CONTR *,50.0,
paystub-2-48,2023-02-16,500201.0,Federal Income Tax,FEDERAL TAX,287.26,
paystub-2-49,2023-02-16,500202.0,Social Security Tax,SOCIAL SECURITY,164.84,
paystub-2-50,2023-02-16,500203.0,Medicare Tax,MEDICARE,38.55,
paystub-2-51,2023-02-16,500204.0,State Income Tax,ARKANSAS,101.8,
paystub-2-52,2023-02-16,500101.0,Medical Insurance,INS MED U *,36.8,
paystub-2-53,2023-02-16,500102.0,Dental Insurance,INS DEN U *,8.3,
paystub-2-54,2023-02-16,500103.0,Vision Insurance,INS VIS *,2.76,
paystub-2-55,2023-02-16,400101.0,Regular Earnings - Walmart Salary,REGULAR,,2746.16
paystub-2-56,2023-02-16,400103.0,Walmart Stock Match,CO STK,,10.5
